run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
1,10,1,1.0,2173,0.049504,"L2,1-NMF",38,0.4469433305624766,0.11642890013805798,0.10906580763920846,0.176923057867595,250,0,11333.460754459747,9.757468083000276
1,10,1,1.0,2173,0.049504,L1-Reg Robust,38,0.3000984605626155,0.0878969167050161,0.08145421076852279,0.11922694376769571,250,0,8584.828418031444,14.316666707993136
1,15,1,1.0,2173,0.111334,F-norm MU,38,0.6641994195708734,0.08191440404970088,0.07731247123791993,0.10829070725340383,250,0,72839.15790928822,4.924431082996307
1,15,1,1.0,2173,0.111334,L1-NMF,38,0.4032971188284854,0.0883571099861942,0.08421537045559135,0.11890588419799178,250,0,518852.52295436896,12.503816625001491
1,15,1,1.0,2173,0.111334,Hypersurface,38,0.6305190849393616,0.09111826967326277,0.0883571099861942,0.11696470114215415,250,0,258384.13321019063,14.329271082999185
1,15,1,1.0,2173,0.111334,"L2,1-NMF",38,0.6646922046123596,0.09157846295444086,0.0878969167050161,0.12325627399324184,250,0,12343.846725452448,10.783584457996767
1,15,1,1.0,2173,0.111334,L1-Reg Robust,38,0.3208392399673902,0.09249884951679706,0.08605614358030372,0.12460439500645637,250,0,12347.651532301303,15.131158958000015
1,20,1,1.0,2173,0.197969,F-norm MU,38,0.8961752934686658,0.07823285780027611,0.07501150483202945,0.10283037346155362,250,0,77482.02154592235,5.251406875002431
1,20,1,1.0,2173,0.197969,L1-NMF,38,0.8326977235382925,0.08375517717441325,0.0800736309249885,0.10812181528234346,250,0,490029.2320369891,11.971466749993851
1,20,1,1.0,2173,0.197969,Hypersurface,38,0.8766683958179495,0.08283479061205706,0.0786930510814542,0.10168937175355107,250,0,277378.522266205,13.006818249996286
1,20,1,1.0,2173,0.197969,"L2,1-NMF",38,0.8947945312493822,0.08375517717441325,0.08145421076852279,0.10867400606560595,250,0,12818.830502880304,10.279894499995862
1,20,1,1.0,2173,0.197969,L1-Reg Robust,38,0.533790191403926,0.09111826967326277,0.08559595029912563,0.11813370036313435,250,0,16278.633858767467,13.771659209000063
1,10,2,1.0,2173,0.095775,F-norm MU,38,0.5997548409270134,0.09986194201564658,0.09203865623561897,0.14362728063273952,250,0,87703.70192403621,5.337720874988008
1,10,2,1.0,2173,0.095775,L1-NMF,38,0.2761482125524368,0.10308329498389324,0.0966405890473999,0.13826919441374014,250,0,532019.7849468354,13.022677332992316
1,10,2,1.0,2173,0.095775,Hypersurface,38,0.48689100124205154,0.10906580763920846,0.1063046479521399,0.16221031830141075,250,0,308184.12837695464,15.653950666004675
1,10,2,1.0,2173,0.095775,"L2,1-NMF",38,0.5988007569223354,0.09848136217211229,0.09387942936033133,0.14330302334971554,250,0,13596.417310223405,14.49793408298865
1,10,2,1.0,2173,0.095775,L1-Reg Robust,38,0.30952291127023207,0.09111826967326277,0.08467556373676945,0.12431112007889722,250,0,11556.748544901415,14.123301792002167
1,10,3,1.0,2173,0.139236,F-norm MU,38,0.7106283715452394,0.10492406810860562,0.09940174873446847,0.14644164867267304,250,0,111492.76138515458,5.441008875000989
1,10,3,1.0,2173,0.139236,L1-NMF,38,0.30554484848965124,0.10262310170271514,0.09433962264150944,0.133530261567331,250,0,642438.550949332,13.833130250000977
1,10,3,1.0,2173,0.139236,Hypersurface,38,0.6415423243579496,0.11136677404509894,0.10492406810860562,0.15590276306319198,250,0,357783.48887838604,18.236090250007692
1,10,3,1.0,2173,0.139236,"L2,1-NMF",38,0.7104786617387182,0.10170271514035895,0.09479981592268753,0.13905099839221627,250,0,15339.539705161682,11.135476291994564
1,10,3,1.0,2173,0.139236,L1-Reg Robust,38,0.3223513861164182,0.0892774965485504,0.08421537045559135,0.1212255700435878,250,0,14190.735867342673,14.093026333997841
1,10,4,1.0,2173,0.180086,F-norm MU,38,0.8040882635721602,0.09618039576622181,0.09065807639208467,0.1340890008436182,250,0,133268.8750764182,5.060871416993905
1,10,4,1.0,2173,0.180086,L1-NMF,38,0.36348098316015337,0.09433962264150944,0.08651633686148182,0.1290605862729424,250,0,736616.8160813143,11.348501667001983
1,10,4,1.0,2173,0.180086,Hypersurface,38,0.751246541446372,0.10216290842153705,0.09848136217211229,0.14576817554535482,250,0,405365.68637530203,12.504576249993988
1,10,4,1.0,2173,0.180086,"L2,1-NMF",38,0.8022259811066563,0.09065807639208467,0.08605614358030372,0.13401887297514883,250,0,16898.720649795803,9.48484112501319
1,10,4,1.0,2173,0.180086,L1-Reg Robust,38,0.34392043928707755,0.0980211688909342,0.09019788311090658,0.13317111162494832,250,0,16850.465358739428,12.528433208004571
1,15,2,0.1,217,0.020278,F-norm MU,38,0.3318419051097396,0.18269673262770364,0.1780947998159227,0.28050957285634703,250,0,33429.46781613857,3.3760565419943305
1,15,2,0.1,217,0.020278,L1-NMF,38,0.28117627314704974,0.10078232857800276,0.09526000920386563,0.13852308591156054,250,0,311116.0707168464,9.366447042004438
1,15,2,0.1,217,0.020278,Hypersurface,38,0.3060505063988608,0.1592268752876208,0.15462494247583985,0.24848190572308987,250,0,150707.71044290127,10.7154515000002
1,15,2,0.1,217,0.020278,"L2,1-NMF",38,0.3209193891823128,0.19098021168890933,0.18315692590888172,0.2973678255469797,250,0,7858.953218644849,7.8298452500021085
1,15,2,0.1,217,0.020278,L1-Reg Robust,38,0.29973249266097607,0.08513575701794754,0.0800736309249885,0.1148883495200254,250,0,6641.865582430248,12.010429999994813
1,15,2,0.25,543,0.051005,F-norm MU,38,0.4756185035554019,0.1334560515416475,0.12839392544868844,0.2059215179480011,250,0,47184.87445076571,3.3803369590023067
1,15,2,0.25,543,0.051005,L1-NMF,38,0.31760728343669714,0.10032213529682467,0.09526000920386563,0.13560125730709108,250,0,391644.62210690166,9.184379083992098
1,15,2,0.25,543,0.051005,Hypersurface,38,0.45226372147658805,0.11688909341923608,0.11320754716981132,0.18266193112479867,250,0,188278.56439188038,10.792827249999391
1,15,2,0.25,543,0.051005,"L2,1-NMF",38,0.4672826627924344,0.14404049700874366,0.1394385641969627,0.21918504383043574,250,0,9292.828157402419,8.15371616599441
1,15,2,0.25,543,0.051005,L1-Reg Robust,38,0.310408660990107,0.08559595029912563,0.0800736309249885,0.11182454996914165,250,0,8601.89796265725,12.324020250001922
1,15,2,0.5,1086,0.102109,F-norm MU,38,0.6443895532911554,0.1058444546709618,0.09940174873446847,0.15217528851438952,250,0,66067.14264278297,3.60857899999246
1,15,2,0.5,1086,0.102109,L1-NMF,38,0.5058335378232268,0.08559595029912563,0.08191440404970088,0.11329212694878461,250,0,466533.7319960785,9.970870332996128
1,15,2,0.5,1086,0.102109,Hypersurface,38,0.6143990165227905,0.11182696732627703,0.1063046479521399,0.1484248170946539,250,0,243122.61427143676,11.002047292000498
1,15,2,0.5,1086,0.102109,"L2,1-NMF",38,0.6383638155994558,0.1058444546709618,0.10262310170271514,0.1532320789241137,250,0,11236.33833814795,11.20598866599903
1,15,2,0.5,1086,0.102109,L1-Reg Robust,38,0.33738074762422277,0.09157846295444086,0.08513575701794754,0.1225421741280313,250,0,11718.99426891,15.321095167004387
1,15,2,0.75,1630,0.152603,F-norm MU,38,0.7716206381455047,0.09111826967326277,0.0878969167050161,0.12278513441059927,250,0,86585.52560240396,5.852447832992766
1,15,2,0.75,1630,0.152603,L1-NMF,38,0.6845080554380689,0.08881730326737229,0.08329498389323516,0.11481828914426627,250,0,506460.7365359583,12.20311491699249
1,15,2,0.75,1630,0.152603,Hypersurface,38,0.746870416967141,0.08697653014265992,0.08375517717441325,0.11706039084177515,250,0,288564.1237757428,15.017846083006589
